-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2004 through 02/25/2004 
Location: Latitude  -37.8639   Longitude 145.154 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 58.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M
2004,1,1,10,3.5,238.4
2004,1,1,11,3.76,234.46
2004,1,1,12,3.93,226.85
2004,1,1,13,4.05,214.55
2004,1,1,14,4.05,200.32
2004,1,1,15,4.18,188.27
2004,1,1,16,4.65,179.33
2004,1,1,17,5.34,172.1
2004,1,1,18,5.92,167.36
2004,1,1,19,5.99,167.41
2004,1,1,20,5.49,165.49
2004,1,1,21,4.76,159.72
2004,1,1,22,4.11,149.73
2004,1,1,23,3.61,140.62
2004,1,2,0,3.12,136.42
2004,1,2,1,2.57,131.55
2004,1,2,2,2.02,126.34
2004,1,2,3,1.54,119.17
2004,1,2,4,1.02,110.25
2004,1,2,5,0.36,105.26
2004,1,2,6,0.43,265.84
2004,1,2,7,0.93,245.6
2004,1,2,8,1.5,245.43
2004,1,2,9,2.18,247.85
2004,1,2,10,2.91,244.95
2004,1,2,11,3.53,239.41
2004,1,2,12,4.13,230.83
2004,1,2,13,4.72,219.7
2004,1,2,14,5.27,208.01
2004,1,2,15,5.79,196.77
2004,1,2,16,6.43,185.51
2004,1,2,17,6.92,175.66
2004,1,2,18,6.8,169.81
2004,1,2,19,5.83,170.75
2004,1,2,20,4.57,170.86
2004,1,2,21,3.53,161.16
2004,1,2,22,2.81,145.78
2004,1,2,23,2.15,132.5
2004,1,3,0,1.57,127.72
2004,1,3,1,1.34,129.55
2004,1,3,2,1.1,139.62
2004,1,3,3,0.81,149.98
2004,1,3,4,0.72,135.0
2004,1,3,5,1.12,101.62
2004,1,3,6,1.28,111.87
2004,1,3,7,1.78,141.22
2004,1,3,8,2.07,166.28
2004,1,3,9,2.3,190.55
2004,1,3,10,2.67,202.52
2004,1,3,11,3.35,207.82
2004,1,3,12,4.51,205.23
2004,1,3,13,5.44,199.37
2004,1,3,14,5.51,189.8
2004,1,3,15,5.52,179.84
2004,1,3,16,5.77,171.98
2004,1,3,17,6.14,166.25
2004,1,3,18,6.21,161.82
2004,1,3,19,6.0,162.01
2004,1,3,20,5.69,157.83
2004,1,3,21,4.95,149.27
2004,1,3,22,4.27,144.45
2004,1,3,23,3.51,149.5
2004,1,4,0,2.3,164.64
2004,1,4,1,1.06,213.92
2004,1,4,2,1.55,298.63
2004,1,4,3,3.02,327.92
2004,1,4,4,3.89,343.9
2004,1,4,5,5.14,357.82
2004,1,4,6,6.07,355.65
2004,1,4,7,8.02,354.36
2004,1,4,8,9.96,319.58
2004,1,4,9,12.97,265.58
2004,1,4,10,10.28,255.38
2004,1,4,11,9.03,252.63
2004,1,4,12,8.36,249.19
2004,1,4,13,6.84,238.45
2004,1,4,14,6.61,227.44
2004,1,4,15,6.74,219.35
2004,1,4,16,6.86,210.54
2004,1,4,17,7.15,201.55
2004,1,4,18,6.84,194.69
2004,1,4,19,6.39,187.94
2004,1,4,20,6.02,184.24
2004,1,4,21,5.71,183.06
2004,1,4,22,5.46,182.3
2004,1,4,23,5.05,179.73
2004,1,5,0,4.67,176.45
2004,1,5,1,4.34,175.66
2004,1,5,2,4.27,176.75
2004,1,5,3,4.16,174.61
2004,1,5,4,3.98,170.74
2004,1,5,5,3.76,170.44
2004,1,5,6,3.54,170.2
2004,1,5,7,3.38,174.83
2004,1,5,8,3.3,184.75
2004,1,5,9,3.51,197.87
2004,1,5,10,4.01,209.16
2004,1,5,11,4.7,216.36
2004,1,5,12,5.59,218.18
2004,1,5,13,5.77,213.69
2004,1,5,14,5.76,206.25
2004,1,5,15,5.94,197.29
2004,1,5,16,6.24,192.37
2004,1,5,17,6.19,188.12
2004,1,5,18,5.66,184.27
2004,1,5,19,4.96,182.44
2004,1,5,20,4.49,183.39
2004,1,5,21,4.1,189.64
2004,1,5,22,3.77,192.94
2004,1,5,23,3.65,194.75
2004,1,6,0,3.46,189.23
2004,1,6,1,3.39,192.5
2004,1,6,2,2.89,184.49
2004,1,6,3,2.65,180.68
2004,1,6,4,2.29,173.53
2004,1,6,5,1.83,181.22
2004,1,6,6,1.38,194.12
2004,1,6,7,0.79,200.22
2004,1,6,8,0.52,253.47
2004,1,6,9,0.98,281.04
2004,1,6,10,1.63,287.3
2004,1,6,11,2.37,301.22
2004,1,6,12,3.18,305.21
2004,1,6,13,3.89,295.95
2004,1,6,14,3.84,298.7
2004,1,6,15,4.48,306.85
2004,1,6,16,5.16,311.56
2004,1,6,17,5.54,320.27
2004,1,6,18,6.5,323.9
2004,1,6,19,8.06,332.39
2004,1,6,20,9.2,336.05
2004,1,6,21,9.1,337.97
2004,1,6,22,8.78,336.56
2004,1,6,23,8.75,335.2
2004,1,7,0,8.74,332.2
2004,1,7,1,8.77,327.37
2004,1,7,2,8.75,323.78
2004,1,7,3,8.37,328.6
2004,1,7,4,8.56,336.27
2004,1,7,5,8.75,343.56
2004,1,7,6,9.58,337.87
2004,1,7,7,11.51,325.23
2004,1,7,8,12.64,316.6
2004,1,7,9,13.26,311.73
2004,1,7,10,13.89,308.6
2004,1,7,11,14.33,304.51
2004,1,7,12,13.23,292.57
2004,1,7,13,12.01,277.06
2004,1,7,14,10.95,278.41
